GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calculadora-descontos,com.ecommerce.calculadora,CalculadoraDescontoFrete,0,75,0,16,0,19,0,13,0,5
calculadora-descontos,com.ecommerce.calculadora,App,84,0,0,0,27,0,2,0,2,0
